Date,Period,Model,Scenario,AGRO_ZONE,Tmean,Tmin,Tmax
1990-01,HISTORICAL,NESM3,HISTORICAL,ML,26.06642900108858,18.322234416373743,33.81062440168607
1990-01,HISTORICAL,NESM3,HISTORICAL,OVERALL,24.12329489752557,17.043136911336898,31.20345498707241
1990-02,HISTORICAL,NESM3,HISTORICAL,ArL,25.254994799780416,18.120933737871404,32.38905193422112
1990-02,HISTORICAL,NESM3,HISTORICAL,MH,20.854976663767786,13.611238182892642,28.098715566316322
1990-02,HISTORICAL,NESM3,HISTORICAL,ML,28.020724832828794,20.006896009647242,36.03455967481683
1990-02,HISTORICAL,NESM3,HISTORICAL,OVERALL,25.45163415353349,18.059092336532924,32.84417561498185
1990-03,HISTORICAL,NESM3,HISTORICAL,ArL,26.93081116277839,19.867811120810217,33.99380844402478
1990-03,HISTORICAL,NESM3,HISTORICAL,MH,22.020783618316223,14.879675091227002,29.16189806536912
1990-03,HISTORICAL,NESM3,HISTORICAL,ML,29.430160390938894,21.752719220982787,37.107600887680356
1990-03,HISTORICAL,NESM3,HISTORICAL,OVERALL,26.987364422351146,19.744316745235828,34.23041116956074
1990-04,HISTORICAL,NESM3,HISTORICAL,ArL,28.621684990341272,20.867668933879273,36.37570033981559
1990-04,HISTORICAL,NESM3,HISTORICAL,MH,22.981624414551998,15.715682159068324,30.24756879493884
